model	task	prompting	metric	value	stderr	documents	num_fewshot	batch_size	device	dtype	lm_eval_version	revision	date	source
Qwen/Qwen3-0.6B	arc_challenge	direct	acc,none	0.294	0.0203950954849365	500	0	16	cuda	bfloat16	0.4.9.1	c1899de289a04d12100db370d81485cdf75e47ca	2026-09-10	sweep-gpu
Qwen/Qwen3-0.6B	arc_challenge	direct	acc_norm,none	0.32	0.0208823404887617	500	0	16	cuda	bfloat16	0.4.9.1	c1899de289a04d12100db370d81485cdf75e47ca	2026-09-10	sweep-gpu
Qwen/Qwen3-1.7B	arc_challenge	direct	acc,none	0.39	0.0218346858693691	500	0	16	cuda	bfloat16	0.4.9.1	70d244cc86ccca08cf5af4e1e306ecf908b1ad5e	2026-09-10	sweep-gpu
Qwen/Qwen3-1.7B	arc_challenge	direct	acc_norm,none	0.436	0.0221989546414768	500	0	16	cuda	bfloat16	0.4.9.1	70d244cc86ccca08cf5af4e1e306ecf908b1ad5e	2026-09-10	sweep-gpu
Qwen/Qwen3-4B	arc_challenge	direct	acc,none	0.504	0.0223823577819621	500	0	16	cuda	bfloat16	0.4.9.1	1cfa9a7208912126459214e8b04321603b3df60c	2026-09-10	sweep-gpu
Qwen/Qwen3-4B	arc_challenge	direct	acc_norm,none	0.53	0.0223427481925028	500	0	16	cuda	bfloat16	0.4.9.1	1cfa9a7208912126459214e8b04321603b3df60c	2026-09-10	sweep-gpu
Qwen/Qwen3-8B	arc_challenge	direct	acc,none	0.542	0.0223039667742698	500	0	16	cuda	bfloat16	0.4.9.1	b968826d9c46dd6066d109eabc6255188de91218	2026-09-10	sweep-gpu
Qwen/Qwen3-8B	arc_challenge	direct	acc_norm,none	0.562	0.0222103263639773	500	0	16	cuda	bfloat16	0.4.9.1	b968826d9c46dd6066d109eabc6255188de91218	2026-09-10	sweep-gpu
allenai/OLMo-2-1124-7B	arc_challenge	direct	acc,none	0.536	0.0223249817383853	500	0	16	cuda	bfloat16	0.4.9.1	7df9a82518afdecae4e8c026b27adccc8c1f0032	2026-09-10	sweep-gpu
allenai/OLMo-2-1124-7B	arc_challenge	direct	acc_norm,none	0.544	0.022296238348407	500	0	16	cuda	bfloat16	0.4.9.1	7df9a82518afdecae4e8c026b27adccc8c1f0032	2026-09-10	sweep-gpu
mistralai/Mistral-7B-v0.3	arc_challenge	direct	acc,none	0.462	0.0223183381198705	500	0	16	cuda	bfloat16	0.4.9.1	caa1feb0e54d415e2df31207e5f4e273e33509b1	2026-09-10	sweep-gpu
mistralai/Mistral-7B-v0.3	arc_challenge	direct	acc_norm,none	0.512	0.022376626797927	500	0	16	cuda	bfloat16	0.4.9.1	caa1feb0e54d415e2df31207e5f4e273e33509b1	2026-09-10	sweep-gpu
unsloth/Meta-Llama-3.1-8B	arc_challenge	direct	acc,none	0.504	0.0223823577819621	500	0	16	cuda	bfloat16	0.4.9.1	e9a141a2091ea561b96483212645a2a05e6f99fc	2026-09-10	sweep-gpu
unsloth/Meta-Llama-3.1-8B	arc_challenge	direct	acc_norm,none	0.518	0.0223685651173878	500	0	16	cuda	bfloat16	0.4.9.1	e9a141a2091ea561b96483212645a2a05e6f99fc	2026-09-10	sweep-gpu
Qwen/Qwen3-0.6B	mmlu_high_school_psychology	direct	acc,none	0.57	0.0221626344266528	500	0	16	cuda	bfloat16	0.4.9.1	c1899de289a04d12100db370d81485cdf75e47ca	2026-09-10	sweep-gpu
Qwen/Qwen3-1.7B	mmlu_high_school_psychology	direct	acc,none	0.782	0.0184833782231788	500	0	16	cuda	bfloat16	0.4.9.1	70d244cc86ccca08cf5af4e1e306ecf908b1ad5e	2026-09-10	sweep-gpu
Qwen/Qwen3-4B	mmlu_high_school_psychology	direct	acc,none	0.88	0.0145472762568456	500	0	16	cuda	bfloat16	0.4.9.1	1cfa9a7208912126459214e8b04321603b3df60c	2026-09-10	sweep-gpu
Qwen/Qwen3-8B	mmlu_high_school_psychology	direct	acc,none	0.916	0.0124175840156437	500	0	16	cuda	bfloat16	0.4.9.1	b968826d9c46dd6066d109eabc6255188de91218	2026-09-10	sweep-gpu
allenai/OLMo-2-1124-7B	mmlu_high_school_psychology	direct	acc,none	0.814	0.0174188067805839	500	0	16	cuda	bfloat16	0.4.9.1	7df9a82518afdecae4e8c026b27adccc8c1f0032	2026-09-10	sweep-gpu
mistralai/Mistral-7B-v0.3	mmlu_high_school_psychology	direct	acc,none	0.8	0.0179064592414338	500	0	16	cuda	bfloat16	0.4.9.1	caa1feb0e54d415e2df31207e5f4e273e33509b1	2026-09-10	sweep-gpu
unsloth/Meta-Llama-3.1-8B	mmlu_high_school_psychology	direct	acc,none	0.836	0.0165758111424466	500	0	16	cuda	bfloat16	0.4.9.1	e9a141a2091ea561b96483212645a2a05e6f99fc	2026-09-10	sweep-gpu
