model	task	config	metric	stock	traced	parity
HuggingFaceTB/SmolLM2-135M	arc_easy	hf-traced	acc,none	0.6435185185185185	0.6435185185185185	EQUAL
HuggingFaceTB/SmolLM2-135M	arc_easy	hf-traced	acc_norm,none	0.5858585858585859	0.5858585858585859	EQUAL
HuggingFaceTB/SmolLM2-135M	arc_easy	hf-traced	sample_len	2376.0	2376.0	EQUAL
HuggingFaceTB/SmolLM2-135M	hellaswag	hf-traced	acc,none	0.3552081258713404	0.3552081258713404	EQUAL
HuggingFaceTB/SmolLM2-135M	hellaswag	hf-traced	acc_norm,none	0.43089026090420235	0.43089026090420235	EQUAL
HuggingFaceTB/SmolLM2-135M	hellaswag	hf-traced	sample_len	10042.0	10042.0	EQUAL
HuggingFaceTB/SmolLM2-135M	mmlu_high_school_psychology	hf-traced	acc,none	0.20917431192660552	0.20917431192660552	EQUAL
HuggingFaceTB/SmolLM2-135M	mmlu_high_school_psychology	hf-traced	sample_len	545.0	545.0	EQUAL
HuggingFaceTB/SmolLM2-135M	arc_easy	hf-traced	acc,none	0.57	0.57	EQUAL
HuggingFaceTB/SmolLM2-135M	arc_easy	hf-traced	acc_norm,none	0.56	0.56	EQUAL
HuggingFaceTB/SmolLM2-135M	arc_easy	hf-traced	sample_len	200.0	200.0	EQUAL
HuggingFaceTB/SmolLM2-135M	arc_easy	hf-traced + collection	acc,none	0.57	0.57	EQUAL
HuggingFaceTB/SmolLM2-135M	arc_easy	hf-traced + collection	acc_norm,none	0.56	0.56	EQUAL
HuggingFaceTB/SmolLM2-135M	arc_easy	hf-traced + collection	sample_len	200.0	200.0	EQUAL
EleutherAI/pythia-160m	arc_easy	hf-traced	acc,none	0.41	0.41	EQUAL
EleutherAI/pythia-160m	arc_easy	hf-traced	acc_norm,none	0.43	0.43	EQUAL
EleutherAI/pythia-160m	arc_easy	hf-traced	sample_len	200.0	200.0	EQUAL
EleutherAI/pythia-160m	arc_easy	hf-traced + collection	acc,none	0.41	0.41	EQUAL
EleutherAI/pythia-160m	arc_easy	hf-traced + collection	acc_norm,none	0.43	0.43	EQUAL
EleutherAI/pythia-160m	arc_easy	hf-traced + collection	sample_len	200.0	200.0	EQUAL
microsoft/Phi-3-mini-4k-instruct	arc_easy	hf-traced	acc,none	0.76	0.76	EQUAL
microsoft/Phi-3-mini-4k-instruct	arc_easy	hf-traced	acc_norm,none	0.79	0.79	EQUAL
microsoft/Phi-3-mini-4k-instruct	arc_easy	hf-traced	sample_len	200.0	200.0	EQUAL
